Abstract,EmotionScore,Emotion
"After months of sheltering at home, 18 cohabitants on what so much togetherness has wrought.",0.05183256817772307,0
"If this were real life, I would have ended it. But this was no longer real life.",0.23226487109017274,0
"If this were real life, I would have ended it. But this was no longer real life.",0.07594672766813594,1
Not since The New York Post said I was dead have so many friends and lovers checked in on me.,0.22024328797009013,2
She wanted to connect without the cost of connection. Enter the rock climber.,0.05734596465974599,1
It’s hard to argue with the results.,0.06901357581744194,1
It’s hard to argue with the results.,0.05648284911428923,0
I thought my father was the only one with secret desires. Then my mother asked me to go for a walk.,0.1211794948599389,2
Can anything good come from obsessing over a South Korean bodybuilder on social media?,0.40478587976276714,2
Can anything good come from obsessing over a South Korean bodybuilder on social media?,0.07739394618978064,5
Life can be fleeting. She wanted to make sure he knew the risks of connection.,0.05145439870232991,2
"Thirteen years ago, my parents tried to wish away my gender transition. Now, Alzheimer’s threatens to erase their memory of me altogether.",0.09404926988151312,1
"Thirteen years ago, my parents tried to wish away my gender transition. Now, Alzheimer’s threatens to erase their memory of me altogether.",0.06735160427907484,2
A mother who uses sign language sees an expressive upside to the hush that has fallen over the land.,0.06345800612865432,5
"She didn’t want to go to Burning Man (for all the reasons people don’t), but then there she was, dancing naked in the desert, and it was good.",0.3365731098285051,2
"She didn’t want to go to Burning Man (for all the reasons people don’t), but then there she was, dancing naked in the desert, and it was good.",0.05469715283569376,5
"People have worse problems, but mine is having my boyfriend break up with me at the start of the pandemic.",0.066062475480839,5
They liked their separate homes in separate cities until the choice became all-in or all-out.,0.12385931928340185,2
"After losing her husband on the eve of a pandemic, she anticipated despair but found resilience. Here’s why.",0.07581623795459497,0
"After spooky things started happening in our new house, a scary thing happened in our marriage.",0.12105122993963899,2
"After spooky things started happening in our new house, a scary thing happened in our marriage.",0.10931732355923406,5
"After spooky things started happening in our new house, a scary thing happened in our marriage.",0.059110749001954385,4
What if the fastest path to a committed relationship is to actively avoid one?,0.10432086671383617,2
"As a wife and a mother, I have learned how to tell the truth. Which is why I always know when my husband is lying.",0.16844819800687527,2
"If grief is the price of love, I am unable to pay.",0.057094125783582465,5
“Bend It Like Beckham” gave me a vision of my romantic future. My future had other ideas.,0.16338657717736876,2
Being awash in romantic complaints has left me — a Black woman who’s had heartache — feeling dismayed but hopeful.,0.07932725677704307,1
Only twice have I felt a connection so strong that self-consciousness fell away. The first time was with an emu.,0.10330950586259124,2
"Between a pandemic and military training, so much for college love being casual.",0.09153630877899094,1
"Between a pandemic and military training, so much for college love being casual.",0.08327080665289555,2
"After a massive earthquake struck Haiti, a young woman turned in desperation to a Vodou priest. She could not have imagined what happened next.",0.08611623408580736,1
"After a massive earthquake struck Haiti, a young woman turned in desperation to a Vodou priest. She could not have imagined what happened next.",0.072514053577885,0
"I spent my childhood longing for my father, who disappeared after I was born. Then my mother found him in a brochure.",0.0744516217089411,0
"Being single in your 30s can feel like waiting to enter a popular club, only to get in and think: What’s the big deal?",0.09529517964680867,4
"Being single in your 30s can feel like waiting to enter a popular club, only to get in and think: What’s the big deal?",0.05203147224560126,1
A director of romantic comedies finds herself attending weddings with her ex-husband. Who wrote this script?,0.2779622260392968,2
A director of romantic comedies finds herself attending weddings with her ex-husband. Who wrote this script?,0.05199558417375556,5
"Divided by race, politics and pasts, they found a place with each other … until they didn’t.",0.07730785768630227,5
A young woman struggling with an eating disorder tries to shift from self-loathing to self-loving.,0.07082345768079483,2
"For our 10th date, we crossed the ocean on a freighter. Turns out isolation can have surprising benefits for new love. (You can’t walk away.)",0.1516087690324065,2
"For our 10th date, we crossed the ocean on a freighter. Turns out isolation can have surprising benefits for new love. (You can’t walk away.)",0.07094802432924525,5
"Separated from family and worried about patients and colleagues, an internist where the U.S. outbreak began counts losses and blessings.",0.05,1
"As an undocumented immigrant in search of love, I had to lie to nearly every man I dated.",0.14104600591208238,2
"We met on the train, married and had two boys who resembled him. I had no idea how much that resemblance would rebuild me.",0.18175155257833375,2
"If my husband and I weren’t going to succeed at marriage, then we were going to excel at divorce.",0.22429416492007484,2
"If my husband and I weren’t going to succeed at marriage, then we were going to excel at divorce.",0.21376205907789686,5
He was over 70. I was 22. We both loved Fran Lebowitz. What was I doing on the back of his motorcycle?,0.15993928408854127,2
He was over 70. I was 22. We both loved Fran Lebowitz. What was I doing on the back of his motorcycle?,0.05069595912232419,5
"After more than five decades together, a lack of conversation leads to a divided house and a “gray divorce.”",0.11648037704866386,5
"After more than five decades together, a lack of conversation leads to a divided house and a “gray divorce.”",0.06291501331315805,2
The loss of a loved one can complicate family math.,0.13382487790753947,2
The loss of a loved one can complicate family math.,0.0669595711235771,5
My parents wanted only the best for me. That was the problem.,0.12568283086376295,1
"“Never count on a man,” her father had told her. “They will always let you down.” So she didn’t, and they still did.",0.07259619169356157,2
Blindness can make you paranoid in love. Is he looking at another woman? Is she prettier than me?,0.22167049862499713,2
A motorcycle accident brings together four lives that had been kept intentionally separate.,0.13471735663758166,5
A motorcycle accident brings together four lives that had been kept intentionally separate.,0.07173462342621166,0
"My grandmother was getting married for the third time — to her former brother-in-law, of all people. I didn’t expect to envy them.",0.17962730717894332,2
"For a struggling mother and daughter, a New Year’s Eve eviction leads to confusion, courage and grace.",0.114905660647506,2
Our house is a mess of misplaced possessions. I’m grateful for what this — and my son’s autism — has taught me.,0.09702251231342546,2
